"","sex","HL","HB","PL"
"1","X1",168.078412,81.388489,91.594053
"2","X1",173.253528,84.816256,91.308613
"3","X1",175.168809,90.539889,91.406501
"4","X1",181.607176,86.701946,94.486531
"5","X1",167.795725,81.684043,95.321172
"6","X1",171.280906,82.270346,95.66436
"7","X1",175.595936,84.883393,96.349168
"8","X1",177.655982,77.817861,97.39323
"9","X1",183.906961,79.447444,97.45958
"10","X1",176.192212,79.023563,99.275261
"11","X1",182.297983,83.7656,99.524771
"12","X1",182.392176,82.002175,100.919957
"13","X1",181.37706,81.425601,100.987093
"14","X1",178.897885,86.608904,101.329834
"15","X1",185.30696,82.62293,102.272138
"16","X1",181.503696,81.358835,102.429009
"17","X1",184.715558,84.502204,102.432565
"18","X1",184.637906,86.412547,102.72418
"19","X1",189.936944,83.484108,102.861479
"20","X1",186.771762,85.540102,103.291727
"21","X1",189.184725,87.922179,103.397559
"22","X1",189.325327,88.025253,103.982654
"23","X1",180.71819,80.515657,104.307711
"24","X1",188.230756,86.568265,104.523282
"25","X1",189.803628,83.07,104.631537
"26","X1",190.412373,87.613657,104.815704
"27","X1",188.6344,82.488573,105.149982
"28","X1",185.549418,86.27194,105.171124
"29","X1",190.539371,90.576799,105.220941
"30","X1",193.078535,84.106779,105.222314
"31","X1",191.766027,85.570668,105.266359
"32","X1",191.150047,83.15861,105.602151
"33","X1",187.596128,88.693477,105.919465
"34","X1",194.167462,86.145939,106.595268
"35","X1",195.299807,97.262995,107.188556
"36","X1",202.798407,86.21517,107.252184
"37","X1",189.246162,86.189901,107.315647
"38","X1",189.182699,85.864656,108.077201
"39","X1",196.964313,89.116016,108.235026
"40","X1",193.815485,82.944392,108.472812
"41","X1",196.480924,90.2674,109.156069
"42","X1",199.490669,87.333325,109.406736
"43","X1",186.199946,79.231212,109.727235
"44","X2",179.384674,83.730676,102.889531
"45","X2",169.584696,76.382506,97.195822
"46","X2",165.200885,69.379935,95.171455
"47","X2",167.763274,67.426592,92.972098
"48","X2",185.573567,77.582428,103.93307
"49","X2",174.250414,79.206648,100.443332
"50","X2",177.822852,78.584348,95.130783
"51","X2",174.410621,77.146356,92.750891
"52","X2",161.105782,76.295017,87.139975
"53","X2",151.593847,79.764584,85.062648
"54","X2",161.957144,70.316721,87.071004
"55","X2",166.984977,79.522591,94.573377
"56","X2",167.722059,74.279328,98.37182
"57","X2",169.581692,79.9296,92.790581
"58","X2",172.717314,78.188751,98.926246
"59","X2",161.456823,72.347148,92.882979
"60","X2",169.191907,73.75351,90.307608
"61","X2",181.339214,72.012929,104.293745
"62","X2",185.027656,79.266,104.76
"63","X2",162.153625,80.564031,89.415216
"64","X2",178.378459,76.516193,98.750698
"65","X2",178.897885,80.963583,97.153489
"66","X2",163.614559,78.525451,95.247289
"67","X2",181.046069,74.424543,101.46064
"68","X2",174.108142,76.455939,98.211806
"69","X2",162.103877,67.736895,90.741158
"70","X2",182.096209,85.579444,103.442099
"71","X2",168.824372,76.942209,96.572794
"72","X2",185.692243,74.88648,101.540529
"73","X2",182.772953,76.562233,99.573182
"74","X2",164.946925,71.671299,91.171587
"75","X2",152.756852,69.43244,85.267021
"76","X2",182.703875,79.482318,100.293903
"77","X2",171.134145,77.719659,94.676613
"78","X2",169.264242,75.723524,97.266624
"79","X2",161.803416,75.152982,87.942363
"80","X2",169.826535,73.29792,96.019263
"81","X2",180.167865,77.34463,96.391284
"82","X2",182.707826,76.75484,100.465666
"83","X2",169.42051,76.724645,92.695346
"84","X2",176.702954,72.628797,97.195822
"85","X2",176.781251,70.51542,97.365153
"86","X2",157.007044,68.211925,89.719654
"87","X1",198.237623,91.844102,109.762332
"88","X1",194.773289,84.812552,109.923484
"89","X1",200.814198,81.355235,110.189276
"90","X1",194.450114,84.118956,110.679177
"91","X1",193.646444,90.668328,110.759066
"92","X1",198.455581,86.98608,110.890516
"93","X1",192.867668,91.59456,111.185463
"94","X1",198.511735,83.092329,112.646525
"95","X1",204.70193,90.059449,112.92469
"96","X1",205.368543,90.612733,113.467017
"97","X1",202.700282,81.254181,115.248501
"98","X1",210.212486,86.985496,116.064617
"99","X1",206.127275,86.081719,119.061732
"100","X2",169.264242,67.47342,91.933467
"101","X2",158.324205,75.311636,91.396246
"102","X2",166.9867,71.124865,94.682491
"103","X2",180.077288,74.513435,102.746513
"104","X2",175.515103,78.688062,99.42474
"105","X2",177.289243,76.326568,100.540103
"106","X2",172.783889,80.176603,98.828705
"107","X2",159.848181,75.044597,88.221295
"108","X2",168.085882,79.94467,93.540701
"109","X2",170.076827,72.04121,93.920616
"110","X2",169.95925,71.29889,91.30514
"111","X2",169.264242,75.723524,97.266624
"112","X2",167.902178,68.691583,96.539459
